56416 77090 2966 158671 63524 236733 189151 205166 170268 121901 19450 186332 185577 7559 47948 231448
139279 29893 53505 104942 181159 241233 215309 117667 39127 139811 102356 183629 162061 208758 43634 128722
79763 204791 7528 54630 159445 125876 254247 245138 42414 190917 109241 256934 260000 201383 5850 36366
242891 225314 60624 158396 148183 120043 194180 200159 73785 190789 207722 232484 36912 208139 55903 251457
24389 148537 106540 89550 200215 158189 160649 223323 137006 245043 244551 87554 118943 135268 202607 140468
146151 32902 6417 137334 108555 123482 6211 194377 220519 150162 239471 151920 207013 153674 172738 155626
15844 74805 89214 209771 76326 35350 3946 47071 146512 220137 119083 39650 111897 117740 105694 45447
233151 136917 212255 140298 92989 126903 12486 119896 132201 175033 202880 249056 222113 8819 133724 80705
115513 194879 75581 126671 148036 67183 247530 151972 79032 261591 118787 256060 107448 229972 6731 221838
171316 199642 204708 49415 132796 108864 118285 83603 142406 248052 34138 31442 59689 196349 110044 94384
173293 28879 182698 215672 35777 172359 63338 122677 169592 132608 102750 106478 260571 180850 223496 42406
234649 115356 254783 220701 208377 104294 226772 214531 9998 241343 113310 250124 183448 159377 211280 49781
156570 28916 56159 203812 193615 148864 34810 158492 148460 7258 39269 184271 89518 79117 68570 12614
238616 227289 62123 164395 190392 180567 230400 188518 103097 39109 87046 4545 211608 93493 103421 238026
37718 187823 177843 172066 15537 229693 26122 25697 91919 259892 81910 96406 251440 230594 151417 158021
42771 88000 40491 7008 57577 98046 109292 98598 76188 175357 250846 59660 92444 246750 260545 252589

-- OLD

82027 149207 248525 142325 248470 52231 8844 144635 14517 82652 162111 259006 107225 136349 15476 236288
210910 13508 206125 12550 39129 73740 217820 240813 216138 115872 171803 167845 156594 125177 110692 165552
134426 185607 185550 217881 190687 120006 46989 95853 260647 166237 6449 134874 170243 14327 79627 84486
207281 22399 24837 80113 219653 65157 104881 8118 127225 254550 23748 171902 223061 252887 59189 224108
117829 217766 130788 55886 26502 54162 181678 203387 79827 72690 64091 14876 138438 232582 252304 171879
43423 63101 191507 18328 119005 59912 50308 236486 166581 192093 188769 160289 63915 215180 164712 141816
97255 74780 68752 245845 14374 253493 240322 69126 59327 86953 84287 85277 69211 58439 60967 192222
44389 145999 115870 170609 237697 27973 157623 116919 86644 50955 163100 232310 39089 24643 181599 11604
58579 19493 42440 121637 124049 5341 427 113313 96170 40748 18186 122058 17748 72427 53864 41892
10156 124545 222946 56345 48110 82590 208976 131552 29972 181563 135018 5895 175458 1243 115129 188285
32304 53975 224413 92878 185618 219110 148112 32341 257872 246400 115848 177019 129046 193832 99583 240394
191908 209577 2426 105101 118305 842 54062 107983 66522 15880 257129 2729 115925 250540 231414 207448
239003 1723 67902 177823 29538 148220 246042 205285 141153 49099 132439 254914 160763 78989 176616 146740
22865 78615 219603 255780 56977 83905 161434 236435 255500 151211 193489 238219 160996 208607 241606 109969
191776 145068 162805 106846 182958 46391 61333 124214 228031 240116 43777 175294 144484 16557 33156 63142
148493 154831 192781 199006 228960 222816 39620 154712 65998 9817 135525 146883 129770 175491 102233 52046
